Company Symbol,Igroup,financial_year,Element_Id,Element_Name,P&L Cateogry,Calculated_Value
BHARTIARTL,Telecom - Services,2025,60034,DepreciationDepletionAndAmortisationExpense,Expenses,3.76047E+11
BHARTIARTL,Telecom - Services,2025,60035,OtherExpenses,Expenses,5.79374E+11
BHARTIARTL,Telecom - Services,2025,60039,ProfitBeforeTax,Profit,1.5533E+11
BHARTIARTL,Telecom - Services,2025,60042,TaxExpense,Tax,44193000000
BHARTIARTL,Telecom - Services,2025,60049,ProfitLossForPeriod,Profit,1.11137E+11
BHARTIARTL,Telecom - Services,2025,600001,Total COGS,Expenses,0
BHARTIARTL,Telecom - Services,2025,600002,Gross Margin,Profit,1.33203E+12
BHARTIARTL,Telecom - Services,2025,600003,Gross Margin %,Profit,100.00000000000000000000
BHARTIARTL,Telecom - Services,2025,600004,EBIDTA/ Operating Profit,Profit,7.12536E+11
BHARTIARTL,Telecom - Services,2025,600005,Operating Profit%,Profit,53.49264954287679069300
BHARTIARTL,Telecom - Services,2025,600005,PBT%,Profit,11.66118379070678800600
BHARTIARTL,Telecom - Services,2025,600006,PAT%,Profit,8.34345575837108284700
HFCL,Telecom - Services,2019,60026,RevenueFromOperations,Revenue / Income,1.45491E+11
HFCL,Telecom - Services,2019,60027,OtherIncome,Revenue / Income,1129200000
HFCL,Telecom - Services,2019,60028,Income,Revenue / Income,1.4662E+11
HFCL,Telecom - Services,2019,60029,CostOfMaterialsConsumed,Expenses,75607700000
HFCL,Telecom - Services,2019,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,655300000
HFCL,Telecom - Services,2019,60032,EmployeeBenefitExpense,Expenses,5865200000
HFCL,Telecom - Services,2019,60033,FinanceCosts,Expenses,2618700000
HFCL,Telecom - Services,2019,60034,DepreciationDepletionAndAmortisationExpense,Expenses,651700000
HFCL,Telecom - Services,2019,60035,OtherExpenses,Expenses,5317400000
HFCL,Telecom - Services,2019,60039,ProfitBeforeTax,Profit,55903700000
HFCL,Telecom - Services,2019,60042,TaxExpense,Tax,3347800000
HFCL,Telecom - Services,2019,60049,ProfitLossForPeriod,Profit,52555900000
HFCL,Telecom - Services,2019,600001,Total COGS,Expenses,76263000000
HFCL,Telecom - Services,2019,600002,Gross Margin,Profit,70356700000
HFCL,Telecom - Services,2019,600003,Gross Margin %,Profit,47.98584364856837109900
HFCL,Telecom - Services,2019,600004,EBIDTA/ Operating Profit,Profit,59174100000
HFCL,Telecom - Services,2019,600005,Operating Profit%,Profit,40.35890129361879747400
HFCL,Telecom - Services,2019,600005,PBT%,Profit,38.12836883447449421900
HFCL,Telecom - Services,2019,600006,PAT%,Profit,35.84504674337759523400
HFCL,Telecom - Services,2020,60026,RevenueFromOperations,Revenue / Income,1.79444E+11
HFCL,Telecom - Services,2020,60027,OtherIncome,Revenue / Income,902300000
HFCL,Telecom - Services,2020,60028,Income,Revenue / Income,1.80346E+11
HFCL,Telecom - Services,2020,60029,CostOfMaterialsConsumed,Expenses,96810100000
HFCL,Telecom - Services,2020,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,-1642500000
HFCL,Telecom - Services,2020,60032,EmployeeBenefitExpense,Expenses,9429500000
HFCL,Telecom - Services,2020,60033,FinanceCosts,Expenses,4544700000
HFCL,Telecom - Services,2020,60034,DepreciationDepletionAndAmortisationExpense,Expenses,1464900000
HFCL,Telecom - Services,2020,60035,OtherExpenses,Expenses,7608700000
HFCL,Telecom - Services,2020,60039,ProfitBeforeTax,Profit,62130600000
HFCL,Telecom - Services,2020,60042,TaxExpense,Tax,6176300000
HFCL,Telecom - Services,2020,60049,ProfitLossForPeriod,Profit,55954300000
HFCL,Telecom - Services,2020,600001,Total COGS,Expenses,95167600000
HFCL,Telecom - Services,2020,600002,Gross Margin,Profit,85178400000
HFCL,Telecom - Services,2020,600003,Gross Margin %,Profit,47.23054572876581681900
HFCL,Telecom - Services,2020,600004,EBIDTA/ Operating Profit,Profit,68140200000
HFCL,Telecom - Services,2020,600005,Operating Profit%,Profit,37.78303926896077539800
HFCL,Telecom - Services,2020,600005,PBT%,Profit,34.45077794905348607700
HFCL,Telecom - Services,2020,600006,PAT%,Profit,31.02608319563505705700
HFCL,Telecom - Services,2021,60026,RevenueFromOperations,Revenue / Income,1.77834E+11
HFCL,Telecom - Services,2021,60027,OtherIncome,Revenue / Income,1061200000
HFCL,Telecom - Services,2021,60028,Income,Revenue / Income,1.78896E+11
HFCL,Telecom - Services,2021,60029,CostOfMaterialsConsumed,Expenses,66850300000
HFCL,Telecom - Services,2021,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,-1082600000
HFCL,Telecom - Services,2021,60032,EmployeeBenefitExpense,Expenses,10408700000
HFCL,Telecom - Services,2021,60033,FinanceCosts,Expenses,7038900000
HFCL,Telecom - Services,2021,60034,DepreciationDepletionAndAmortisationExpense,Expenses,2714900000
HFCL,Telecom - Services,2021,60035,OtherExpenses,Expenses,8437400000
HFCL,Telecom - Services,2021,60039,ProfitBeforeTax,Profit,84528000000
HFCL,Telecom - Services,2021,60042,TaxExpense,Tax,3227500000
HFCL,Telecom - Services,2021,60049,ProfitLossForPeriod,Profit,81300500000
HFCL,Telecom - Services,2021,600001,Total COGS,Expenses,65767700000
HFCL,Telecom - Services,2021,600002,Gross Margin,Profit,1.13128E+11
HFCL,Telecom - Services,2021,600003,Gross Margin %,Profit,63.23682639483587075400
HFCL,Telecom - Services,2021,600004,EBIDTA/ Operating Profit,Profit,94281800000
HFCL,Telecom - Services,2021,600005,Operating Profit%,Profit,52.70213465283662650200
HFCL,Telecom - Services,2021,600005,PBT%,Profit,47.24990441352386531600
HFCL,Telecom - Services,2021,600006,PAT%,Profit,45.44577954963677139100
HFCL,Telecom - Services,2022,60026,RevenueFromOperations,Revenue / Income,2.02202E+11
HFCL,Telecom - Services,2022,60027,OtherIncome,Revenue / Income,1287200000
HFCL,Telecom - Services,2022,60028,Income,Revenue / Income,2.03489E+11
HFCL,Telecom - Services,2022,60029,CostOfMaterialsConsumed,Expenses,94403600000
HFCL,Telecom - Services,2022,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,-1865300000
HFCL,Telecom - Services,2022,60032,EmployeeBenefitExpense,Expenses,13038600000
HFCL,Telecom - Services,2022,60033,FinanceCosts,Expenses,6953800000
HFCL,Telecom - Services,2022,60034,DepreciationDepletionAndAmortisationExpense,Expenses,2936200000
HFCL,Telecom - Services,2022,60035,OtherExpenses,Expenses,10503000000
HFCL,Telecom - Services,2022,60039,ProfitBeforeTax,Profit,77519300000
HFCL,Telecom - Services,2022,60042,TaxExpense,Tax,4998200000
HFCL,Telecom - Services,2022,60049,ProfitLossForPeriod,Profit,72521100000
HFCL,Telecom - Services,2022,600001,Total COGS,Expenses,92538300000
HFCL,Telecom - Services,2022,600002,Gross Margin,Profit,1.10951E+11
HFCL,Telecom - Services,2022,600003,Gross Margin %,Profit,54.52422045002879759700
HFCL,Telecom - Services,2022,600004,EBIDTA/ Operating Profit,Profit,87409300000
HFCL,Telecom - Services,2022,600005,Operating Profit%,Profit,42.95525266205774065700
HFCL,Telecom - Services,2022,600005,PBT%,Profit,38.09504386473581890300
HFCL,Telecom - Services,2022,600006,PAT%,Profit,35.63879557244315668800
HFCL,Telecom - Services,2023,60026,RevenueFromOperations,Revenue / Income,1.98169E+11
HFCL,Telecom - Services,2023,60027,OtherIncome,Revenue / Income,2213700000
HFCL,Telecom - Services,2023,60028,Income,Revenue / Income,2.00383E+11
HFCL,Telecom - Services,2023,60029,CostOfMaterialsConsumed,Expenses,87904500000
HFCL,Telecom - Services,2023,60031,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,Expenses,-3011900000
HFCL,Telecom - Services,2023,60032,EmployeeBenefitExpense,Expenses,14000600000
HFCL,Telecom - Services,2023,60033,FinanceCosts,Expenses,6068000000
HFCL,Telecom - Services,2023,60034,DepreciationDepletionAndAmortisationExpense,Expenses,3167200000
HFCL,Telecom - Services,2023,60035,OtherExpenses,Expenses,12219500000
HFCL,Telecom - Services,2023,60039,ProfitBeforeTax,Profit,80035100000
HFCL,Telecom - Services,2023,60042,TaxExpense,Tax,4399100000
HFCL,Telecom - Services,2023,60049,ProfitLossForPeriod,Profit,75636000000
HFCL,Telecom - Services,2023,600001,Total COGS,Expenses,84892600000
HFCL,Telecom - Services,2023,600002,Gross Margin,Profit,1.1549E+11
HFCL,Telecom - Services,2023,600003,Gross Margin %,Profit,57.63482930188688661200
HFCL,Telecom - Services,2023,600004,EBIDTA/ Operating Profit,Profit,89270300000
